iter	RMSE
0	0.3731009644
1	0.3522257194
2	0.3310219125
3	0.3103109936
4	0.2906785085
5	0.2740228522
6	0.2600085375
7	0.2459088279
8	0.2341498951
9	0.2230368895
10	0.2141013954
11	0.2054026825
12	0.1973299197
13	0.1898624392
14	0.1823212871
15	0.1766352347
16	0.1711931854
17	0.1663522501
18	0.1610919029
19	0.1566296017
20	0.1532518241
21	0.1499333477
22	0.1466654253
23	0.143191841
24	0.1405853234
25	0.1384595777
26	0.1361290272
27	0.1339289091
28	0.1317619784
29	0.1298341072
30	0.1279779473
31	0.1262768396
32	0.1250338403
33	0.1234014389
34	0.1218477178
35	0.1207565631
36	0.1193452478
37	0.1183296978
38	0.117151403
39	0.1160249563
40	0.1147035616
41	0.1138108713
42	0.1130025018
43	0.1121388872
44	0.1110393806
45	0.110343001
46	0.1096160796
47	0.1089683316
48	0.1083288399
49	0.1075258324
50	0.1067759445
51	0.1061518271
52	0.1055104123
53	0.1048895495
54	0.1041672016
55	0.1036775812
56	0.103077928
57	0.1026452312
58	0.1021724265
59	0.1016750367
60	0.1011992073
61	0.100695577
62	0.1000513145
63	0.09955281795
64	0.09908082874
65	0.09863397382
66	0.09805943222
67	0.0975865944
68	0.0972193834
69	0.09694007125
70	0.09629459342
71	0.09574750848
72	0.09529366005
73	0.09489272472
74	0.09461624033
75	0.0938755046
76	0.09351814984
77	0.09304126799
78	0.09286532684
79	0.09230515422
80	0.0918634558
81	0.0911872839
82	0.0909381343
83	0.09044239888
84	0.09007564072
85	0.08947995754
86	0.08892737537
87	0.08845204157
88	0.08823681061
89	0.08780093611
90	0.08756652775
91	0.08708216375
92	0.08662929258
93	0.08620880909
94	0.08565319027
95	0.0855437143
96	0.08511295737
97	0.08486436999
98	0.08448374331
99	0.08410346148
100	0.08371645985
101	0.0836428808
102	0.08345565433
103	0.08296050959
104	0.08242495879
105	0.08227838991
106	0.08179441932
107	0.08172854394
108	0.0813377557
109	0.08090937359
110	0.08041674981
111	0.08025627386
112	0.07982081668
113	0.07948738935
114	0.07921604158
115	0.07915748049
116	0.07882146888
117	0.07846606092
118	0.07801084588
119	0.07754952005
120	0.07750442531
121	0.07705563233
122	0.07668717624
123	0.0763674877
124	0.07592106396
125	0.07550622907
126	0.07528997785
127	0.07483992404
128	0.07445928073
129	0.07440326468
130	0.07392917837
131	0.07362868586
132	0.07339428571
133	0.07324728218
134	0.07270235325
135	0.07219192687
136	0.07197851212
137	0.07165396252
138	0.07118992819
139	0.07080985392
140	0.07045764699
141	0.07012917044
142	0.06991897667
143	0.06952625064
144	0.06930522284
145	0.06896979551
146	0.06869731126
147	0.06836546892
148	0.06801546565
149	0.06788112669
150	0.06773024128
151	0.06733500355
152	0.06703447808
153	0.06662497934
154	0.06621391013
155	0.06610885129
156	0.06588485467
157	0.06578225284
158	0.06549479493
159	0.06521360144
160	0.06517380789
161	0.06491265854
162	0.06458730458
163	0.06423385811
164	0.06400580223
165	0.06381666416
166	0.06360755217
167	0.06349883828
168	0.06346219513
169	0.06330299283
170	0.06292082088
171	0.0627324068
172	0.06247559772
173	0.062145903
174	0.06211506229
175	0.0618211502
176	0.06156005363
177	0.06138113792
178	0.06096086851
179	0.06088354087
180	0.06075226331
181	0.06071858195
182	0.06046649834
183	0.06020436483
184	0.05988143981
185	0.05970141492
